Text Inputs : Specimen label,"G2NC_1_DRY"
Test : Rate 1,"15.25134",mm/min
Dimension : Support span,"50.00000",mm
Dimension : Thickness,"2.73200",mm
Dimension : Width,"12.85000",mm

Time,Extension,Load
(sec),(mm),(N)
"11.20000","-2.84672","-69.75794"
"11.25000","-2.85937","-70.05708"
"11.30000","-2.87234","-70.33510"
"11.35000","-2.88484","-70.68078"
"11.40000","-2.89766","-70.95600"
"11.45000","-2.91047","-71.26245"
"11.50000","-2.92281","-71.54633"
"11.55000","-2.93578","-71.87190"
"11.60000","-2.94859","-72.17170"
"11.65000","-2.96109","-72.44833"
"11.70000","-2.97406","-72.78632"
"11.75000","-2.98641","-73.07081"
"11.80000","-2.99922","-73.32796"
"11.85000","-3.01219","-73.67278"
"11.90000","-3.02469","-73.97089"
"11.95000","-3.03750","-74.22788"
"12.00000","-3.05016","-74.53596"
"12.05000","-3.06250","-74.80746"
"12.10000","-3.07547","-75.09269"
"12.15000","-3.08828","-75.39844"
"12.20000","-3.10078","-75.67924"
"12.25000","-3.11406","-75.96851"
"12.30000","-3.12641","-76.26153"
"12.35000","-3.13922","-76.53167"
"12.40000","-3.15219","-76.82859"
"12.45000","-3.16437","-77.10426"
"12.50000","-3.17734","-77.38532"
"12.55000","-3.19016","-77.71692"
"12.60000","-3.20266","-77.99212"
"12.65000","-3.21562","-78.27624"
"12.70000","-3.22812","-78.54966"
"12.75000","-3.24078","-78.81033"
"12.80000","-3.25375","-79.14500"
"12.85000","-3.26625","-79.43898"
"12.90000","-3.27906","-79.69692"
"12.95000","-3.29203","-80.00635"
"13.00000","-3.30438","-80.26925"
"13.05000","-3.31703","-80.55960"
"13.10000","-3.32984","-80.86277"
"13.15000","-3.34234","-81.16438"
"13.20000","-3.35547","-81.45073"
"13.25000","-3.36781","-81.72979"
"13.30000","-3.38047","-82.02549"
"13.35000","-3.39344","-82.33895"
"13.40000","-3.40563","-82.61515"
"13.45000","-3.41875","-82.87572"
"13.50000","-3.43172","-83.18123"
"13.55000","-3.44422","-83.47115"
"13.60000","-3.45719","-83.74423"
"13.65000","-3.46953","-84.04228"
"13.70000","-3.48203","-84.30581"
"13.75000","-3.49500","-84.60417"
"13.80000","-3.50766","-84.90395"
"13.85000","-3.52016","-85.16397"
"13.90000","-3.53344","-85.44997"
"13.95000","-3.54563","-85.73831"
"14.00000","-3.55844","-86.00252"
"14.05000","-3.57141","-86.30232"
"14.10000","-3.58375","-86.53191"
"14.15000","-3.59703","-86.86669"
"14.20000","-3.60953","-87.11650"
"14.25000","-3.62219","-87.41016"
"14.30000","-3.63500","-87.65548"
"14.35000","-3.64750","-87.95172"
"14.40000","-3.66031","-88.21685"
"14.45000","-3.67313","-88.49742"
"14.50000","-3.68547","-88.75987"
"14.55000","-3.69828","-89.07517"
"14.60000","-3.71109","-89.35311"
"14.65000","-3.72359","-89.62352"
"14.70000","-3.73672","-89.90023"
"14.75000","-3.74937","-90.20802"
"14.80000","-3.76187","-90.45345"
"14.85000","-3.77484","-90.77766"
"14.90000","-3.78703","-91.02270"
"14.95000","-3.79984","-91.29733"
"15.00000","-3.81281","-91.64474"
"15.05000","-3.82531","-91.90988"
"15.10000","-3.83812","-92.23203"
"15.15000","-3.85063","-92.43988"
"15.20000","-3.86328","-92.72157"
"15.25000","-3.87625","-92.98891"
"15.30000","-3.88906","-93.26157"
"15.35000","-3.90172","-93.57463"
"15.40000","-3.91484","-93.81094"
"15.45000","-3.92703","-94.12704"
"15.50000","-3.93969","-94.39460"
"15.55000","-3.95266","-94.68419"
"15.60000","-3.96516","-94.97557"
"15.65000","-3.97828","-95.26161"
"15.70000","-3.99078","-95.52535"
"15.75000","-4.00328","-95.78635"
"15.80000","-4.01625","-96.07847"
"15.85000","-4.02859","-96.36365"
"15.90000","-4.04141","-96.59888"
"15.95000","-4.05453","-96.89659"
"16.00000","-4.06688","-97.18454"
"16.05000","-4.07984","-97.46594"
"16.10000","-4.09250","-97.73542"
"16.15000","-4.10484","-98.00424"
"16.20000","-4.11781","-98.27134"
"16.25000","-4.13063","-98.58591"
"16.30000","-4.14312","-98.80247"
"16.35000","-4.15609","-99.10658"
"16.40000","-4.16844","-99.35818"
"16.45000","-4.18109","-99.59754"
"16.50000","-4.19422","-99.90561"
"16.55000","-4.20656","-100.20006"
"16.60000","-4.21953","-100.45453"
"16.65000","-4.23234","-100.73361"
"16.70000","-4.24484","-100.98376"
"16.75000","-4.25766","-101.27443"
"16.80000","-4.27016","-101.55677"
"16.85000","-4.28297","-101.83222"
"16.90000","-4.29594","-102.05701"
"16.95000","-4.30828","-102.34045"
"17.00000","-4.32094","-102.63262"
"17.05000","-4.33391","-102.90032"
"17.10000","-4.34641","-103.19294"
"17.15000","-4.35922","-103.43355"
"17.20000","-4.37219","-103.69825"
"17.25000","-4.38453","-103.97142"
"17.30000","-4.39766","-104.23261"
"17.35000","-4.41000","-104.49523"
"17.40000","-4.42266","-104.75602"
"17.45000","-4.43578","-104.99648"
"17.50000","-4.44813","-105.29482"
"17.55000","-4.46078","-105.53887"
"17.60000","-4.47359","-105.82429"
"17.65000","-4.48625","-106.08867"
"17.70000","-4.49891","-106.31235"
"17.75000","-4.51172","-106.59755"
"17.80000","-4.52438","-106.87568"
"17.85000","-4.53734","-107.14862"
"17.90000","-4.54984","-107.38583"
"17.95000","-4.56234","-107.66107"
"18.00000","-4.57547","-107.90335"
"18.05000","-4.58797","-108.17993"
"18.10000","-4.60078","-108.42022"
"18.15000","-4.61359","-108.69262"
"18.20000","-4.62594","-108.95459"
"18.25000","-4.63891","-109.21573"
"18.30000","-4.65188","-28.02216"
"18.35000","-4.66453","7.14636"
"18.40000","-4.67734","3.04482"
"18.45000","-4.68969","3.24099"
"18.50000","-4.70266","3.27799"
"18.55000","-4.71531","3.26959"
"18.60000","-4.72781","3.27792"
"18.65000","-4.74047","3.28031"
"18.70000","-4.75328","3.30682"
"18.75000","-4.76594","3.27558"
"18.80000","-4.77875","3.29144"
"18.85000","-4.79141","3.27772"
"18.90000","-4.80391","3.25060"
"18.95000","-4.81703","3.28127"
"19.00000","-4.82938","3.27324"
"19.05000","-4.84234","3.24688"
"19.10000","-4.85516","3.25879"
"19.15000","-4.86750","3.26291"
"19.20000","-4.88047","3.25092"
"19.25000","-4.89297","3.26813"
"19.30000","-4.90578","3.28334"
"19.35000","-4.91844","3.31106"
"19.40000","-4.93125","3.26254"
"19.45000","-4.94375","3.29331"
"19.50000","-4.95672","3.26449"
"19.55000","-4.96922","3.25098"
"19.60000","-4.98187","3.29258"
"19.65000","-4.99484","3.25209"
"19.70000","-5.00734","3.29595"
"19.75000","-5.02031","3.30897"
"19.80000","-5.03281","3.31063"
"19.85000","-5.04547","3.30324"
"19.90000","-5.05828","3.29210"
"19.95000","-5.07078","3.28283"
"20.00000","-5.08359","3.29244"
"20.05000","-5.09641","3.27528"
"20.10000","-5.10891","3.30790"
"20.15000","-5.12172","3.27964"
"20.20000","-5.13469","3.27765"
"20.25000","-5.14719","3.27717"
"20.30000","-5.16016","3.27907"
"20.35000","-5.17281","3.29656"
"20.40000","-5.18531","3.29833"
"20.45000","-5.19828","3.32015"
"20.50000","-5.21078","3.29184"
"20.55000","-5.22344","3.30379"
"20.60000","-5.23625","3.29722"
"20.65000","-5.24859","3.28840"
"20.70000","-5.26156","3.31208"
"20.75000","-5.27422","3.32699"
"20.80000","-5.28688","3.31935"
"20.85000","-5.29984","3.29780"
"20.90000","-5.31250","3.29672"
"20.95000","-5.32531","3.27014"
"21.00000","-5.33812","3.28879"
"21.05000","-5.35047","3.31506"
"21.10000","-5.36312","3.28584"
"21.15000","-5.37609","3.30282"
"21.20000","-5.38859","3.30831"
"21.25000","-5.40125","3.30006"
"21.30000","-5.41422","3.28536"
"21.35000","-5.42656","3.30764"
"21.40000","-5.43953","3.28851"
"21.45000","-5.45219","3.32711"
"21.50000","-5.46500","3.29564"
"21.55000","-5.47797","3.29015"
"21.60000","-5.49031","3.30257"
"21.65000","-5.50328","3.29068"
"21.70000","-5.51578","3.30772"
"21.75000","-5.52844","3.28171"
"21.75600","-5.53000","3.28865"
