Text Inputs : Specimen label,"G2NC_0.5"
Test : Rate 1,"15.77685",mm/min
Dimension : Support span,"50.00000",mm
Dimension : Thickness,"2.64100",mm
Dimension : Width,"13.37000",mm

Time,Extension,Load
(sec),(mm),(N)
"21.30000","-5.60094","-103.34508"
"21.35000","-5.61391","-103.56392"
"21.40000","-5.62703","-103.74205"
"21.45000","-5.64047","-103.97197"
"21.50000","-5.65328","-104.18978"
"21.55000","-5.66656","-104.40258"
"21.60000","-5.67969","-104.59185"
"21.65000","-5.69266","-104.79318"
"21.70000","-5.70609","-105.03358"
"21.75000","-5.71891","-105.21433"
"21.80000","-5.73234","-105.42456"
"21.85000","-5.74578","-105.63070"
"21.90000","-5.75844","-105.77030"
"21.95000","-5.77172","-105.98580"
"22.00000","-5.78484","-106.17242"
"22.05000","-5.79797","-106.35193"
"22.10000","-5.81125","-106.57877"
"22.15000","-5.82422","-106.75565"
"22.20000","-5.83734","-106.92410"
"22.25000","-5.85063","-107.12960"
"22.30000","-5.86359","-107.31743"
"22.35000","-5.87703","-107.51370"
"22.40000","-5.89016","-107.71300"
"22.45000","-5.90328","-107.87840"
"22.50000","-5.91656","-108.08204"
"22.55000","-5.92922","-108.27716"
"22.60000","-5.94250","-108.45048"
"22.65000","-5.95578","-108.58851"
"22.70000","-5.96891","-108.80326"
"22.75000","-5.98203","-108.94201"
"22.80000","-5.99500","-109.12152"
"22.85000","-6.00812","-109.29272"
"22.90000","-6.02156","-109.42732"
"22.95000","-6.03453","-109.64443"
"23.00000","-6.04766","-109.81231"
"23.05000","-6.06109","-109.99931"
"23.10000","-6.07391","-110.14696"
"23.15000","-6.08734","-110.36264"
"23.20000","-6.10031","-110.54367"
"23.25000","-6.11344","-110.74087"
"23.30000","-6.12672","-110.92423"
"23.35000","-6.13953","-111.10349"
"23.40000","-6.15297","-111.26383"
"23.45000","-6.16594","-111.47659"
"23.50000","-6.17922","-111.67360"
"23.55000","-6.19250","-111.87430"
"23.60000","-6.20562","-112.03409"
"23.65000","-6.21891","-112.20788"
"23.70000","-6.23203","-112.39170"
"23.75000","-6.24484","-112.56700"
"23.80000","-6.25812","-112.73148"
"23.85000","-6.27141","-112.92181"
"23.90000","-6.28438","-113.07461"
"23.95000","-6.29781","-113.25375"
"24.00000","-6.31047","-113.39129"
"24.05000","-6.32375","-113.57637"
"24.10000","-6.33703","-113.74609"
"24.15000","-6.35016","-113.87526"
"24.20000","-6.36359","-114.05257"
"24.25000","-6.37625","-114.20796"
"24.30000","-6.38953","-114.38222"
"24.35000","-6.40281","-114.58495"
"24.40000","-6.41578","-114.76248"
"24.45000","-6.42922","-114.96793"
