Text Inputs : Specimen label,"G2CF_DRY"
Test : Rate 1,"0.70000",mm/min
Dimension : Support span,"25.60000",mm
Dimension : Thickness,"1.60200",mm
Dimension : Width,"13.37000",mm

Time,Extension,Load
(sec),(mm),(N)
"12.55000","-0.14625","-45.78457"
"12.60000","-0.14687","-45.92665"
"12.65000","-0.14750","-46.12055"
"12.70000","-0.14813","-46.34114"
"12.75000","-0.14875","-46.48959"
"12.80000","-0.14922","-46.70278"
"12.85000","-0.14984","-46.86378"
"12.90000","-0.15047","-46.99314"
"12.95000","-0.15109","-47.20692"
"13.00000","-0.15172","-47.40825"
"13.05000","-0.15219","-47.66035"
"13.10000","-0.15281","-47.78370"
"13.15000","-0.15344","-47.98283"
"13.20000","-0.15406","-48.12495"
"13.25000","-0.15453","-48.34068"
"13.30000","-0.15516","-48.49546"
"13.35000","-0.15578","-48.70939"
"13.40000","-0.15625","-48.89193"
"13.45000","-0.15688","-49.03955"
"13.50000","-0.15734","-49.22646"
"13.55000","-0.15797","-49.42815"
"13.60000","-0.15859","-49.60184"
"13.65000","-0.15922","-49.80650"
"13.70000","-0.15984","-49.98802"
"13.75000","-0.16047","-50.19099"
"13.80000","-0.16109","-50.36347"
"13.85000","-0.16172","-50.57717"
"13.90000","-0.16219","-50.75790"
"13.95000","-0.16281","-50.93028"
"14.00000","-0.16344","-51.12255"
"14.05000","-0.16391","-51.30729"
"14.10000","-0.16453","-51.48221"
"14.15000","-0.16516","-51.66844"
"14.20000","-0.16578","-51.87212"
"14.25000","-0.16641","-52.05761"
"14.30000","-0.16703","-52.22747"
"14.35000","-0.16766","-52.37459"
"14.40000","-0.16828","-52.58799"
"14.45000","-0.16875","-52.75133"
"14.50000","-0.16938","-52.97053"
"14.55000","-0.17000","-53.16424"
"14.60000","-0.17047","-53.31509"
"14.65000","-0.17109","-53.46069"
"14.70000","-0.17172","-53.65743"
"14.75000","-0.17219","-53.79498"
"14.80000","-0.17281","-54.02344"
"14.85000","-0.17344","-54.20100"
"14.90000","-0.17406","-54.38130"
"14.95000","-0.17453","-54.56314"
"15.00000","-0.17516","-54.80742"
"15.05000","-0.17578","-54.94000"
"15.10000","-0.17625","-55.09295"
"15.15000","-0.17688","-55.28673"
"15.20000","-0.17750","-55.43621"
"15.25000","-0.17797","-55.58957"
"15.30000","-0.17844","-55.77975"
"15.35000","-0.17906","-55.93960"
"15.40000","-0.17953","-56.06898"
"15.45000","-0.18016","-56.25090"
"15.50000","-0.18078","-56.47748"
"15.55000","-0.18141","-56.64988"
"15.60000","-0.18188","-56.82586"
"15.65000","-0.18250","-56.98648"
"15.70000","-0.18312","-57.21529"
"15.75000","-0.18375","-57.40793"
"15.80000","-0.18438","-57.59473"
"15.85000","-0.18484","-57.79630"
"15.90000","-0.18547","-57.99764"
"15.95000","-0.18594","-58.14211"
"16.00000","-0.18656","-58.32167"
"16.05000","-0.18719","-58.46100"
"16.10000","-0.18781","-58.64777"
"16.15000","-0.18844","-58.87871"
"16.20000","-0.18906","-59.10657"
"16.25000","-0.18969","-59.26431"
"16.30000","-0.19031","-59.47887"
"16.35000","-0.19078","-59.71629"
"16.40000","-0.19141","-59.86831"
"16.45000","-0.19203","-60.02228"
"16.50000","-0.19250","-60.24286"
"16.55000","-0.19313","-60.42900"
"16.60000","-0.19375","-60.56100"
"16.65000","-0.19437","-60.77710"
"16.70000","-0.19500","-60.93600"
"16.75000","-0.19547","-61.16698"
"16.80000","-0.19609","-61.34838"
"16.85000","-0.19672","-61.54136"
"16.90000","-0.19734","-61.70418"
"16.95000","-0.19797","-61.93000"
"17.00000","-0.19859","-62.11857"
"17.05000","-0.19906","-62.29953"
"17.10000","-0.19969","-62.42283"
"17.15000","-0.20031","-62.60762"
"17.20000","-0.20078","-62.80570"
"17.25000","-0.20141","-62.97102"
"17.30000","-0.20203","-63.19434"
"17.35000","-0.20266","-63.34767"
"17.40000","-0.20313","-63.54205"
"17.45000","-0.20375","-63.71187"
"17.50000","-0.20437","-63.89000"
"17.55000","-0.20500","-64.13897"
"17.60000","-0.20547","-64.29186"
"17.65000","-0.20609","-64.43888"
"17.70000","-0.20672","-64.64362"
"17.75000","-0.20719","-64.85947"
"17.80000","-0.20781","-65.02031"
"17.85000","-0.20844","-65.17739"
"17.90000","-0.20891","-65.34842"
"17.95000","-0.20953","-65.49680"
"18.00000","-0.21016","-65.69432"
"18.05000","-0.21063","-65.86989"
"18.10000","-0.21125","-66.02408"
"18.15000","-0.21172","-66.21749"
"18.20000","-0.21234","-66.37714"
"18.25000","-0.21297","-66.57648"
"18.30000","-0.21344","-66.73814"
"18.35000","-0.21406","-66.92390"
"18.40000","-0.21453","-67.07051"
"18.45000","-0.21516","-67.27298"
"18.50000","-0.21562","-67.44229"
"18.55000","-0.21625","-67.66420"
"18.60000","-0.21688","-67.75182"
"18.65000","-0.21750","-67.97890"
"18.70000","-0.21813","-68.20158"
"18.75000","-0.21875","-68.39897"
