Text Inputs : Specimen label,"G2NE_DRY"
Test : Rate 1,"1.30000",mm/min
Dimension : Support span,"50.00000",mm
Dimension : Thickness,"3.48000",mm
Dimension : Width,"13.81000",mm

Time,Extension,Load
(sec),(mm),(N)
"11.45000","-0.24797","-9.49943"
"11.50000","-0.24906","-9.49345"
"11.55000","-0.25016","-9.55833"
"11.60000","-0.25125","-9.54851"
"11.65000","-0.25234","-9.56845"
"11.70000","-0.25359","-9.62059"
"11.75000","-0.25453","-9.68872"
"11.80000","-0.25562","-9.75824"
"11.85000","-0.25672","-9.77242"
"11.90000","-0.25781","-9.84157"
"11.95000","-0.25891","-9.85586"
"12.00000","-0.26000","-9.93017"
"12.05000","-0.26109","-9.98233"
"12.10000","-0.26219","-9.98929"
"12.15000","-0.26328","-10.04934"
"12.20000","-0.26438","-10.06910"
"12.25000","-0.26547","-10.09328"
"12.30000","-0.26656","-10.15706"
"12.35000","-0.26781","-10.20960"
"12.40000","-0.26891","-10.23935"
"12.45000","-0.27000","-10.29521"
"12.50000","-0.27094","-10.33976"
"12.55000","-0.27203","-10.38765"
"12.60000","-0.27313","-10.44773"
"12.65000","-0.27406","-10.44940"
"12.70000","-0.27516","-10.43105"
"12.75000","-0.27625","-10.51974"
"12.80000","-0.27734","-10.59162"
"12.85000","-0.27828","-10.58122"
"12.90000","-0.27938","-10.64199"
"12.95000","-0.28047","-10.67643"
"13.00000","-0.28156","-10.73316"
"13.05000","-0.28266","-10.80724"
"13.10000","-0.28375","-10.83616"
"13.15000","-0.28484","-10.89805"
"13.20000","-0.28594","-10.94454"
"13.25000","-0.28688","-10.95708"
"13.30000","-0.28813","-10.99617"
"13.35000","-0.28922","-11.06212"
"13.40000","-0.29047","-11.13649"
"13.45000","-0.29141","-11.14717"
"13.50000","-0.29250","-11.18085"
"13.55000","-0.29359","-11.28295"
"13.60000","-0.29469","-11.26992"
"13.65000","-0.29594","-11.32440"
"13.70000","-0.29703","-11.35923"
"13.75000","-0.29812","-11.39967"
"13.80000","-0.29922","-11.43245"
"13.85000","-0.30031","-11.48031"
"13.90000","-0.30141","-11.55663"
"13.95000","-0.30234","-11.58533"
"14.00000","-0.30344","-11.62783"
"14.05000","-0.30469","-11.70867"
"14.10000","-0.30578","-11.73870"
"14.15000","-0.30672","-11.73189"
"14.20000","-0.30766","-11.80903"
"14.25000","-0.30875","-11.84433"
"14.30000","-0.30969","-11.88630"
"14.35000","-0.31078","-11.94470"
